Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.0208 North,88.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,37,13.1,7,44,0.8
1958,2,6,13.2,7.1,27,-0.4
1958,3,34,17.2,8.9,48,-1.1
1958,4,115,20.7,12.8,107,-0.6
1958,5,141,21.5,15.1,116,-1.2
1958,6,286,23.5,17.7,105,-2.5
1958,7,584,23.3,17.9,95,-2.6
1958,8,1040,21.6,17.8,79,-1.3
1958,9,274,22.5,16.4,78,-2
1958,10,80,22.2,14.1,80,-2.4
1958,11,11,19.1,8.6,42,-2.3
1958,12,1,14.9,6.9,27,-2.1
1959,1,39,11.8,6.2,43,-1.1
1959,2,6,12.7,6.1,26,-1.3
1959,3,79,17,8.8,80,-0.7
1959,4,79,20.4,12.7,84,-0.9
1959,5,132,20.8,14.6,106,-1.4
1959,6,450,21.8,16.8,92,-1.8
1959,7,653,22.4,17.7,95,-1.9
1959,8,509,22.3,17.4,94,-2
1959,9,455,21.1,15.2,74,-1.2
1959,10,182,19.2,14.6,73,1.3
1959,11,0,17.4,9.3,37,0.7
1959,12,0,14.8,6.7,27,-0.2
1960,1,1,11.5,4.2,24,-0.9
1960,2,6,15.2,7.2,24,-1.4
1960,3,117,15.6,8.1,87,1.2
1960,4,35,21.2,11.8,57,-1.1
1960,5,161,21.8,14.7,110,-1.4
1960,6,385,22.4,16.9,105,-2.1
1960,7,718,21.8,17.7,83,-2
1960,8,532,22.2,17.9,94,-2
1960,9,501,20.8,16.3,73,-0.9
1960,10,60,20.4,13.4,72,-1.5
1960,11,0,17.1,7.9,36,-1.9
1960,12,0,15.6,6.7,25,-2.1
1961,1,3,12.6,6.4,21,-2.3
1961,2,37,12.8,5.9,42,-1.6
1961,3,58,16.8,9.8,64,-1.6
1961,4,66,20.7,12,71,-2.2
1961,5,148,21,14.6,110,-2.6
1961,6,637,22.2,16.7,104,-2.1
1961,7,515,22.7,17.4,103,-2.4
1961,8,759,22.4,17.9,96,-1.8
1961,9,306,21.5,16.3,83,-2.3
1961,10,163,20.7,13,82,-1.7
1961,11,10,14.8,8,43,-1.7
1961,12,3,11.5,4.3,27,-1.5
1962,1,28,12.2,4.3,38,-0.8
1962,2,33,12.7,6,41,1.1
1962,3,65,16.6,7.7,72,1.2
1962,4,90,19.8,11.6,92,1
1962,5,170,19.5,13.6,103,0.9
1962,6,631,21.2,16.8,89,1.2
1962,7,585,22.7,17.4,100,0.7
1962,8,996,21.1,17.2,82,1.6
1962,9,378,21.5,16.1,80,1.4
1962,10,54,20.1,11.8,71,-0.8
1962,11,0,17.8,8.1,36,-1.4
1962,12,6,13.6,6,26,-1.4
1963,1,5,12.1,3.4,24,-1.7
1963,2,1,14.9,5.4,15,-2.4
1963,3,83,15.3,8.4,81,-1.8
1963,4,118,17.8,11,102,-1.1
1963,5,209,19.2,13.4,99,-0.6
1963,6,666,21.4,16.4,91,1.7
1963,7,857,22.1,17.5,87,1.7
1963,8,632,21.8,17.6,88,1.5
1963,9,378,21.8,15.7,82,1.3
1963,10,131,19.8,13.3,82,1.2
1963,11,42,15.4,9.5,53,1.9
1963,12,0,14.1,6.1,31,1.9
1964,1,1,12.7,5.2,28,1.5
1964,2,6,13.5,6.4,28,0.9
1964,3,30,17.4,9.4,44,-1.4
1964,4,81,19.6,12.8,84,-1.7
1964,5,224,19.3,13,110,-1.2
1964,6,394,22.8,16.8,105,-1.6
1964,7,1123,21.3,17.3,92,-0.9
1964,8,500,21.9,17.4,93,-1.1
1964,9,337,21.4,16.6,79,-1.3
1964,10,66,21.8,13.7,75,-1.9
1964,11,4,17.2,8.9,39,-2.1
1964,12,0,14.3,5.6,27,-2.2
1965,1,1,13.3,4.2,22,-2.6
1965,2,24,13.1,4.8,34,-2.4
1965,3,93,14.7,7.1,89,-1.6
