Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.6875 North,94.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,19.6,4.9,40,0.1
1958,2,47,18.6,6,56,0.7
1958,3,10,25.1,9.5,51,-0.8
1958,4,96,25.9,13.2,98,0.1
1958,5,208,24.8,15.2,108,0.7
1958,6,213,27.3,18.6,107,-0.7
1958,7,363,26.1,18.7,104,-0.7
1958,8,460,24.2,17.7,87,1
1958,9,207,25.8,17.9,89,-0.2
1958,10,201,24.2,15.2,82,1.5
1958,11,5,22.7,9.5,45,0.8
1958,12,7,19.7,6.3,34,0.6
1959,1,35,18.2,4.5,48,1.1
1959,2,28,18,5.5,46,1.2
1959,3,70,22.9,9.5,80,1.5
1959,4,103,25.6,13.2,102,1.8
1959,5,298,24.6,15.1,105,3.6
1959,6,366,25.3,18.1,98,4.2
1959,7,275,25.8,18.6,108,2.5
1959,8,288,25.5,18.1,101,1.6
1959,9,218,24.4,17.3,79,1.6
1959,10,248,22.4,14.8,73,3
1959,11,10,21.8,8.9,49,2.2
1959,12,3,20.5,5.6,35,1.7
1960,1,1,19,3.5,33,1
1960,2,11,21.7,7.5,37,-1.5
1960,3,33,23.4,9,56,-2
1960,4,35,27.5,13.5,50,-3
1960,5,128,26.8,16.2,118,-3.3
1960,6,397,26,18.2,99,-3
1960,7,393,24.3,18.1,90,-2.3
1960,8,291,25.7,18.5,101,-2.6
1960,9,249,24.8,17.4,85,-1.9
1960,10,60,24.5,14.5,79,-2.6
1960,11,24,21.4,9.4,51,-2.5
1960,12,3,20.4,5.9,33,-2.6
1961,1,6,20,4.9,33,-2.7
1961,2,15,18.7,5.6,37,-2.8
1961,3,66,23,10.6,74,-2.4
1961,4,60,25.6,13.3,74,-2.7
1961,5,160,25.2,15.7,111,-2.5
1961,6,261,25.7,18.3,112,-3
1961,7,263,25.8,18.5,110,-4.2
1961,8,322,25.4,18.7,104,-4.1
1961,9,189,25.2,17.9,97,-4.2
1961,10,136,24,15,90,-3.7
1961,11,29,20.5,8.8,54,-3.4
1961,12,1,17.9,3.6,33,-3.2
1962,1,27,17.8,2.4,45,-2.5
1962,2,43,18.9,5.8,53,-1.6
1962,3,15,24,8.8,56,-2.1
1962,4,54,25.7,13.4,72,-2.5
1962,5,182,25.4,15.2,113,-2
1962,6,418,25.3,17.9,91,-1.2
1962,7,303,26.1,18.8,113,-2.1
1962,8,392,24.2,18.3,89,-1.5
1962,9,91,25.5,17.8,92,-3.1
1962,10,92,23.8,14.2,89,-3.4
1962,11,7,21.6,8.7,48,-3.6
1962,12,2,19.4,5.3,32,-3.5
1963,1,2,18.6,2.6,33,-3.6
1963,2,7,20.6,6.2,33,-3.9
1963,3,41,23.4,9.6,59,-4
1963,4,74,24.2,12.3,81,-3.9
1963,5,134,24.2,15,115,-4
1963,6,341,25.1,18.3,99,-4
1963,7,379,25,18.6,100,-3.4
1963,8,343,24.7,18.3,87,-3.1
1963,9,198,26,17.8,98,-3.2
1963,10,150,23,14.1,84,-2.6
1963,11,20,20.6,9.1,52,-2.6
1963,12,3,18.8,5.8,35,-2.5
1964,1,14,17.7,3,40,-2.3
1964,2,28,19.1,5.6,47,-2
1964,3,69,23.3,9.7,82,-1.6
1964,4,101,23.2,12.6,100,-1.1
1964,5,168,25,15.1,115,-0.9
1964,6,378,25.1,17.3,98,0.3
