Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 34.1458 North,77.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,-1,-11.2,0,0
1958,2,2,3,-11.2,0,-1.2
1958,3,7,9.4,-4.2,37,-2.1
1958,4,7,15.1,1.6,7,-2.8
1958,5,7,16.6,3.3,7,-2.9
1958,6,2,22.7,8.1,2,-2.9
1958,7,7,25.7,12.3,6,-3
1958,8,14,23.9,10.9,13,-2.5
1958,9,13,20.4,6.2,13,-1.8
1958,10,3,13.7,-0.1,3,-2
1958,11,2,7.5,-5.7,2,-2.1
1958,12,18,2.4,-9.1,0,-0.9
1959,1,20,-2.6,-13.5,0,1.9
1959,2,11,-0.9,-11.7,0,2.5
1959,3,14,7.6,-4.6,32,2.8
1959,4,5,14.4,0.6,27,2.2
1959,5,24,15.6,3.6,24,3.9
1959,6,2,22.8,8.6,3,3.2
1959,7,18,25,11.3,18,3.9
1959,8,6,24.9,11.1,6,2.8
1959,9,6,22.1,6.6,6,2.3
1959,10,5,15.8,1.3,5,1.9
1959,11,6,7.4,-6.5,6,2.2
1959,12,5,1.8,-10.1,0,1.7
1960,1,9,-2,-13.8,0,1.1
1960,2,8,4.8,-8.7,1,-1.5
1960,3,11,6.3,-5.3,25,-0.8
1960,4,11,11,-1.3,17,-0.9
1960,5,12,17.9,4,11,-0.7
1960,6,4,23.2,8.5,4,-0.8
1960,7,13,25.2,12.2,12,0.2
1960,8,11,25.1,11.5,10,-0.2
1960,9,3,20.9,6.7,3,-0.9
1960,10,0,14.5,-0.6,0,-1.6
1960,11,2,6.9,-6.7,2,-1.4
1960,12,9,2.8,-10.7,0,-1.2
1961,1,22,-1.4,-12.8,0,1.1
1961,2,10,-0.3,-12.1,0,1.2
1961,3,6,8.2,-4.4,44,-1.7
1961,4,8,13,-0.2,8,-2.6
1961,5,3,18.4,3.9,3,-2.9
1961,6,4,23.4,8.7,4,-2.6
1961,7,9,26.3,12.2,9,-2.5
1961,8,8,24.9,10.6,7,-2.7
1961,9,6,21.4,7,6,-2.8
1961,10,3,14.1,0.7,3,-3
1961,11,3,6.3,-6.4,3,-2.4
1961,12,12,0.4,-12.1,0,-1.8
1962,1,12,-2.2,-13.4,0,-1.4
1962,2,7,2.7,-9.7,0,-1.6
1962,3,4,8.1,-5.1,34,-2
1962,4,12,13.2,0.7,12,-2.7
1962,5,2,17.5,4,2,-3.2
1962,6,3,22.8,8.1,3,-3.1
1962,7,10,25.5,12.3,9,-2.8
1962,8,8,24.9,10.8,8,-2.9
1962,9,25,20.2,6.3,24,-0.8
1962,10,1,14.7,0.2,1,-1.4
1962,11,3,6.5,-5.5,3,-1.2
1962,12,12,-0.1,-11.4,0,-0.7
1963,1,1,-1.5,-14.2,0,-1.5
1963,2,12,3.4,-10.2,0,-1.7
1963,3,36,7.9,-5,46,1.2
1963,4,7,12.3,-0.1,19,1
1963,5,3,17.2,2.7,3,-0.7
1963,6,1,23,8.7,1,-1.2
1963,7,4,26.2,12.4,4,-1.9
1963,8,6,24.4,11.1,6,-2.5
1963,9,6,20.8,6,6,-2.5
1963,10,1,15.8,0.8,1,-2.8
1963,11,4,8.4,-4.9,4,-2.7
1963,12,11,2.7,-11.2,0,-2.1
1964,1,14,-3.9,-13.2,0,-1.6
1964,2,11,0.5,-11.2,0,-1.3
1964,3,7,9.5,-3.9,41,-1.7
1964,4,12,13.4,1,12,-2.2
1964,5,7,16,2.4,6,-2.2
1964,6,8,21.6,7.6,7,-1.5
1964,7,13,24.5,10.9,12,-1
1964,8,12,25.7,10.8,11,-0.9
1964,9,7,20.9,6.7,7,-1.1
1964,10,0,15.1,0,0,-1.8
1964,11,0,8.1,-6.9,0,-1.9
1964,12,11,1.9,-10,0,-1.4
1965,1,11,0.1,-12.2,0,-1.2
1965,2,17,-0.6,-10.6,0,0.7
1965,3,9,7.5,-5.5,35,1
1965,4,10,11.9,-1.6,22,-0.4
1965,5,7,16.3,2.7,7,0.5
1965,6,1,22.4,8.5,1,0.1
1965,7,9,25.2,11,9,0
1965,8,9,24.3,9.8,8,-0.3
1965,9,3,20.9,5.5,3,-1
1965,10,9,15.6,0.2,9,0.6
1965,11,1,9.3,-4.5,1,-0.8
1965,12,1,2.1,-11.4,0,-1.4
1966,1,1,0.7,-13.9,0,-2.5
1966,2,19,3.6,-8.9,0,-2.4
1966,3,27,7.6,-4.6,38,-1.3
1966,4,11,12.1,-0.4,17,-1.3
1966,5,10,17.3,2.6,10,-1.1
