Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.4792 North,70.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,28.9,12.8,17,0.1
1958,2,0,29.8,14.3,10,0
1958,3,0,34.4,18.3,7,0
1958,4,0,36,22,5,0.1
1958,5,0,36.5,25.7,4,-0.2
1958,6,25,36.1,27.3,26,-1
1958,7,281,31.8,26.3,141,0.4
1958,8,82,31.9,26,103,-0.5
1958,9,184,31.2,24.1,118,1.8
1958,10,40,33.8,21.5,89,3.4
1958,11,9,32.9,16.7,48,4.3
1958,12,4,28.9,13.5,28,4.9
1959,1,0,26.2,11.6,16,4.8
1959,2,0,29.3,13.8,9,4.6
1959,3,0,34.5,18.5,6,4.2
1959,4,0,36.4,22.2,5,4
1959,5,1,37,26.1,5,3.5
1959,6,64,35.7,26.9,63,3.2
1959,7,471,31.4,25.2,134,4.3
1959,8,123,30.6,24.9,124,4.3
1959,9,206,30.8,23.4,114,6.4
1959,10,18,33.4,21.8,92,7.8
1959,11,3,32.1,15.8,57,8.7
1959,12,0,28.7,12.5,40,9.3
1960,1,0,26.7,10.8,28,9.2
1960,2,0,32.4,14,14,8.7
1960,3,0,31.7,17.2,9,8
1960,4,0,35.3,20.4,6,7.4
1960,5,0,36.3,25,5,6.5
1960,6,77,35.3,26.7,77,6.4
1960,7,183,32.2,26.2,151,5.6
1960,8,26,30.9,24.8,34,3.7
1960,9,25,32.2,24.3,30,2.4
1960,10,0,33.9,21,4,1.1
1960,11,0,33.4,16.2,3,-3.4
1960,12,0,28.8,13,3,-3.4
1961,1,1,27.6,11.5,3,-3.2
1961,2,4,28.4,12.5,6,-2.8
1961,3,0,34.1,18.5,2,-2.7
1961,4,0,35.2,20.5,1,-2.5
1961,5,1,35.9,24.8,2,-2.5
1961,6,133,35,25.7,127,-0.7
1961,7,445,31.1,25.5,119,2.8
1961,8,182,31.6,25.4,131,3.6
1961,9,190,31.2,23.5,105,5.6
1961,10,15,33.4,21,92,7
1961,11,0,32.3,16,61,8
1961,12,0,28,11.6,38,8.4
1962,1,0,26.8,9.1,23,8.2
1962,2,0,31.3,13.5,13,7.7
1962,3,13,32.9,17.2,20,7.9
1962,4,0,35.3,21.2,6,7.3
1962,5,1,36.8,25,5,6.5
1962,6,8,35.6,26.8,11,4.6
1962,7,231,32,25.9,137,4.3
1962,8,143,31.2,24.8,130,4
1962,9,111,31.8,23.6,114,4.5
1962,10,0,34.5,19.6,36,4.1
1962,11,8,33.1,16.1,25,3.8
1962,12,3,27.9,13.3,13,3.7
1963,1,0,28.4,11.5,7,3.3
1963,2,0,32.3,14.4,5,3
1963,3,2,34,17.9,5,2.7
1963,4,0,35.6,21,3,2.5
1963,5,0,36.2,24.6,3,2
1963,6,18,35.9,26.3,19,0.8
1963,7,94,32.7,26.1,91,-1.7
1963,8,133,31.5,25,127,-1.9
1963,9,62,31.8,23.2,61,-2
1963,10,39,34.3,21.6,38,-2.1
1963,11,21,33.1,17.2,21,-1.9
1963,12,0,29.4,13.1,1,-2.2
1964,1,0,25.7,9.2,1,-2.3
1964,2,0,29.9,12.4,1,-2.3
1964,3,0,34.4,18,1,-2.3
1964,4,0,36.1,21.6,1,-2.2
