Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 13.2292 North,79.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,13,28.9,18,66,-1.5
1958,2,4,31.2,20,35,-1.7
1958,3,1,34.4,22,15,-1.9
1958,4,45,35.9,24.8,51,-1.3
1958,5,89,36.9,26.4,90,0.6
1958,6,67,36.3,26.9,67,-0.2
1958,7,35,32.8,24.7,36,-1.4
1958,8,198,32.1,24.2,157,1.1
1958,9,82,32.6,23.3,91,-0.8
1958,10,242,30.1,22.3,116,1
1958,11,134,28.6,20.3,94,1.4
1958,12,29,27.9,18,76,1.2
1959,1,0,29.3,18,59,1.4
1959,2,19,32,19.5,45,1.6
1959,3,0,35,20.4,13,1.1
1959,4,48,36.3,24.5,53,1.6
1959,5,76,37.9,26.4,77,1.6
1959,6,94,34.1,25.5,93,2
1959,7,56,32,24.2,56,1
1959,8,81,33.1,24,79,-1.4
1959,9,133,32.3,23.6,128,-1.6
1959,10,110,30.6,22.6,106,-2.3
1959,11,115,28.3,19.9,102,-2.2
1959,12,10,27.5,17.7,12,-3.1
1960,1,3,28.7,18,5,-3.6
1960,2,0,30.4,18.7,2,-3.8
1960,3,4,34.2,21,6,-3.8
1960,4,5,35.9,24.4,6,-4
1960,5,27,37.7,25.8,27,-4.3
1960,6,110,35.3,25.8,105,-3.1
1960,7,159,32.6,24.9,145,-2.2
1960,8,53,33.9,25,52,-2.9
1960,9,228,31.3,23.3,133,-1.7
1960,10,93,30.9,22.3,103,-2.1
1960,11,247,28.1,19.6,94,2
1960,12,18,27.9,17.9,74,1.7
1961,1,17,28.3,18.6,65,2.1
1961,2,18,30.9,19.6,51,2.5
1961,3,1,35.1,21.4,15,2
1961,4,3,36.7,24.6,11,1.3
1961,5,54,37,26.3,57,1.1
1961,6,107,34.1,25.2,105,1.6
1961,7,125,31.9,24,122,1.5
1961,8,161,32.2,24.1,155,1.8
1961,9,164,32,22.7,149,1.5
1961,10,135,30.8,21.8,117,1.1
1961,11,67,28.1,19.4,69,-0.5
1961,12,4,27,17.6,9,-2.2
1962,1,3,27.7,17.3,6,-2.7
1962,2,11,30.4,19.1,13,-2.6
1962,3,5,34,20.7,7,-2.7
1962,4,40,35.6,24.2,40,-2.1
1962,5,177,36.7,25.6,168,2.5
1962,6,89,35.3,25,86,2.8
1962,7,47,32.9,24.6,46,1.5
1962,8,146,32.2,24.1,140,1.7
1962,9,175,31.6,23.1,140,1.7
1962,10,236,29.4,22.3,108,2.5
1962,11,31,28.5,19.1,70,1.5
1962,12,89,27.7,17.7,94,1.9
1963,1,24,27.1,17.6,61,2.2
1963,2,0,30.4,17.7,20,2
1963,3,23,33.8,21,33,2.2
1963,4,60,35.2,23.4,63,2.8
1963,5,24,37.8,25.8,28,1.9
1963,6,79,34.9,25.6,78,1.7
1963,7,85,33.4,24.8,83,1
1963,8,122,32.7,24,118,0.8
1963,9,149,32.7,23.3,139,0.6
1963,10,151,30.8,22.1,123,-1.2
1963,11,62,28.3,20.3,67,-1.7
1963,12,62,27.8,18.1,65,-2
1964,1,0,29.2,16.7,4,-2.7
1964,2,0,32.1,18.8,3,-3
1964,3,0,35.1,21.7,2,-3.1
1964,4,0,37.2,24.7,2,-3.6
1964,5,23,39,27.1,23,-4
1964,6,36,35.9,25.5,36,-4.3
1964,7,239,33.1,24.6,143,-2.1
1964,8,91,32.4,23.7,115,-1.7
1964,9,155,31.6,22.5,143,-1.4
1964,10,148,31.5,22,128,-1.4
1964,11,209,27.8,18.9,103,2.5
1964,12,18,27.7,16.9,73,2.1
1965,1,3,28.7,17,59,2.3
1965,2,6,30.6,19.1,28,2
1965,3,0,34,20.8,11,1.6
