Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.3958 North,90.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,24.7,12.8,38,0.2
1958,2,16,25.4,13.8,39,0.3
1958,3,25,30.9,17.2,44,-0.8
1958,4,178,32,21.7,127,0.5
1958,5,426,31.2,23.5,128,-0.2
1958,6,318,32.2,25,113,-2.1
1958,7,571,32.3,26.1,116,-2.5
1958,8,630,30.5,26.2,87,-0.7
1958,9,254,31.7,25.6,98,-1
1958,10,92,31.3,23.1,93,-1.6
1958,11,7,28.6,17.1,52,-1.6
1958,12,1,25,13.9,31,-1.5
1959,1,36,23.4,12.2,48,1
1959,2,3,25,13.1,33,0.9
1959,3,69,29.9,17,80,1.2
1959,4,170,32,21.9,129,1.4
1959,5,633,30.9,23.1,125,2.1
1959,6,745,30.7,24.6,100,1.9
1959,7,497,31.5,25.8,121,0.8
1959,8,406,31.4,25.8,113,0.6
1959,9,261,30.6,24.5,94,-1.1
1959,10,343,28.5,22.8,88,2.2
1959,11,1,27.3,16.9,50,1.6
1959,12,0,25.6,13.2,33,1.3
1960,1,0,23.8,10.8,32,0.8
1960,2,1,28.2,14.9,29,-1.2
1960,3,76,29.1,16.5,82,-0.7
1960,4,39,34.1,21.6,47,-2.3
1960,5,438,32.5,24.1,136,-2.5
1960,6,606,31.4,24.8,124,-2.9
1960,7,711,30.4,25.5,97,-2.4
1960,8,322,31.4,26.3,114,-2.8
1960,9,403,30.4,25.3,95,-1.2
1960,10,77,30.4,22.3,93,-1.9
1960,11,5,27.2,16.5,49,-2
1960,12,0,25.9,13.2,30,-2.1
1961,1,6,24.8,12.7,30,-2.2
1961,2,11,25.3,13.2,32,-2
1961,3,47,30,18.2,60,-2.2
1961,4,93,32.3,21.4,97,-2.8
1961,5,383,31.2,23.5,132,-3.1
1961,6,703,30.7,24.6,134,-3.1
1961,7,468,31.8,25.6,132,-3.8
1961,8,404,31.5,26.6,119,-3.7
1961,9,207,31.3,25.4,115,-4.4
1961,10,183,30.5,22.5,102,-3.7
1961,11,7,25.6,16.2,52,-3.4
1961,12,1,23,11.3,33,-3.1
1962,1,17,23.6,10.4,39,-2.4
1962,2,10,25.7,13.2,34,-2
1962,3,19,30.8,16.2,41,-2.6
1962,4,82,32.2,21.4,89,-3.2
1962,5,541,30.6,22.6,131,-2.8
1962,6,929,30.4,24.3,108,-1.7
1962,7,508,31.9,25.8,128,-2.4
1962,8,476,30.3,26.1,96,-1.7
1962,9,153,31.6,25.2,109,-3.2
1962,10,75,30.3,21.4,93,-3.8
1962,11,0,27.5,16.2,46,-3.9
1962,12,0,24.8,12.9,30,-3.8
1963,1,1,24.3,10.2,30,-4
1963,2,1,28,13.1,23,-4.4
1963,3,76,29.5,17,82,-3.7
1963,4,145,30.1,20.3,129,-3.3
1963,5,449,29.8,22.4,124,-3.2
1963,6,802,30.3,24.4,105,-2.6
1963,7,742,31.1,25.8,104,-2
1963,8,425,30.8,26.3,102,-1.7
1963,9,291,31.6,25.3,109,-1.6
1963,10,122,29.5,22.2,101,-1.9
1963,11,10,25.9,17.3,54,-1.7
1963,12,1,24.5,13.3,36,-1.6
1964,1,4,23.7,11,35,-1.7
1964,2,8,26.3,13.3,36,-1.8
1964,3,60,30.7,17.8,72,-1.8
1964,4,173,30.4,21.4,137,-1.4
1964,5,543,30.2,22.4,135,-1
1964,6,772,30.7,24.4,105,-0.7
1964,7,687,30.3,25.3,112,-0.6
