Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6042 North,73.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,26.4,10.5,22,1.6
1958,2,0,28.9,10.9,10,1.5
1958,3,1,34.1,17.2,7,0.9
1958,4,2,38.4,23.2,6,0.9
1958,5,1,39.9,26.2,4,-0.3
1958,6,41,38.1,25.9,41,-1
1958,7,213,29.9,24.6,119,0.6
1958,8,122,31.1,24.4,114,-0.6
1958,9,398,28.1,22.6,106,2.6
1958,10,55,30,18.2,85,3.8
1958,11,10,29.9,12.6,59,4.9
1958,12,1,26.5,10.3,30,5.2
1959,1,1,24.2,8.5,21,5.2
1959,2,0,28.1,10,10,4.9
1959,3,0,35.5,16.6,6,4
1959,4,7,37.6,21.8,11,4.1
1959,5,4,39.6,26,7,3.5
1959,6,55,36.1,26.3,55,3
1959,7,364,29.6,23.6,123,5.1
1959,8,156,28.4,22.8,104,5.1
1959,9,386,28.4,22.2,103,7.3
1959,10,46,30.5,19.4,83,7.8
1959,11,3,29.9,12,52,8.1
1959,12,0,26.9,8.6,29,8
1960,1,2,24.2,7.7,19,7.6
1960,2,0,31.9,10.8,9,7
1960,3,0,31.6,15.8,6,5.9
1960,4,1,36.2,20.7,5,5.4
1960,5,4,39.4,24.8,7,4.7
1960,6,89,36.2,25.5,87,4.8
1960,7,160,31.2,24,147,3.9
1960,8,121,28.6,23.1,112,2.4
1960,9,36,31.7,22.5,38,1.3
1960,10,5,31.4,18.1,7,-3.2
1960,11,0,30.7,10.9,2,-3.7
1960,12,1,27.3,9.4,2,-3.7
1961,1,4,24.5,8.9,5,-3.5
1961,2,6,26.1,9.4,7,-3
1961,3,0,34.3,17.2,1,-3.3
1961,4,2,36.5,20.7,2,-3
1961,5,2,39.3,25.6,3,-2.9
1961,6,74,35.2,24.9,71,-2.4
1961,7,229,29.8,23.8,124,-1.5
1961,8,107,29.7,23.8,108,-2.1
1961,9,486,28.4,22.2,105,3.5
1961,10,11,29.7,17.7,75,3.8
1961,11,0,28.6,12.4,41,4
1961,12,1,25.2,7,25,4.1
1962,1,0,24.1,6.2,11,3.8
1962,2,0,28.8,11.1,7,3.4
1962,3,86,32.8,16.2,86,5.5
1962,4,2,37.2,21.5,6,5.1
1962,5,3,39.9,25.7,6,4.5
1962,6,22,37.2,25.1,23,3
1962,7,207,30.9,24.3,137,2.9
1962,8,122,29.9,23.1,117,1.9
1962,9,192,29.2,22.2,126,2
1962,10,0,30.3,15.7,62,2
1962,11,2,30.5,11.8,26,2.1
1962,12,1,25.9,9.4,13,1.9
1963,1,1,25.9,7.2,8,1.7
1963,2,0,30.9,11.4,5,1.4
1963,3,21,33.2,15.9,24,1.5
1963,4,3,36,21.3,5,1.4
1963,5,2,38.7,25.2,4,1
1963,6,39,36.1,25.8,39,-0.6
1963,7,128,32.1,24.4,123,-1.5
1963,8,250,29.6,23.7,109,-0.9
1963,9,303,29.8,21.3,122,2
1963,10,38,31.7,18.5,92,3
1963,11,16,30.4,14.5,55,3.9
1963,12,1,27.5,8.9,30,4.2
1964,1,0,23.4,6.1,13,3.8
1964,2,0,28.5,10.2,7,3.4
1964,3,0,35.5,17.5,5,2.5
1964,4,0,38.2,22.7,4,2.2
1964,5,6,39.3,25.1,8,1.9
1964,6,44,35.8,25.1,44,1.2
1964,7,219,30.4,24.1,128,1.6
1964,8,198,29.4,23.3,109,1.8
1964,9,94,30.3,21.8,113,1.3
