Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.3958 North,76.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,21.7,8.8,29,0.7
1958,2,4,23.9,8.9,6,-0.5
1958,3,12,30.8,15.3,13,-0.7
1958,4,2,38.4,22,3,-0.8
1958,5,2,40.3,24.8,3,-1.1
1958,6,15,41.2,27.6,15,-1.9
1958,7,296,34.3,27.2,134,1.4
1958,8,194,34,26.4,106,1.8
1958,9,322,32.5,24.8,121,4.3
1958,10,56,31.9,18.5,86,4.9
1958,11,2,27.7,12,30,5.3
1958,12,14,22.7,8.7,22,5.1
1959,1,50,20.1,6.9,50,5.4
1959,2,7,23,8.3,10,4.6
1959,3,7,31.2,14.6,9,3.7
1959,4,1,36.3,20.5,3,3.2
1959,5,13,39.2,24.9,13,3
1959,6,23,40.5,28.2,23,2.2
1959,7,191,34.2,26.7,150,1.9
1959,8,211,33.5,26.6,120,1.7
1959,9,154,33.1,25.4,120,1.8
1959,10,28,32.9,19.8,80,2.1
1959,11,7,27.6,11.2,20,2.2
1959,12,0,23.1,7.6,6,1.6
1960,1,29,19.7,6.4,32,1.6
1960,2,0,27.6,11,2,0.8
1960,3,26,28.6,13.6,27,1.1
1960,4,3,35,18.9,5,0.9
1960,5,2,40.9,25.1,3,-0.4
1960,6,28,41.3,27.9,27,-1.2
1960,7,205,35,26.4,131,-0.8
1960,8,262,33.4,26.8,115,1.3
1960,9,57,34.7,25,102,-0.8
1960,10,83,32.3,17.8,93,0.9
1960,11,0,28.1,9.5,8,0.7
1960,12,8,22.6,7.5,12,0
1961,1,50,20.5,7.4,48,1.3
1961,2,35,21.6,7.7,36,1.8
1961,3,2,30.2,14.8,4,1.1
1961,4,4,35.7,19.3,5,0.9
1961,5,6,39.8,24.7,7,0.7
1961,6,45,40,27.4,44,0.8
1961,7,178,34.9,26.8,137,0.6
1961,8,342,33.2,26.3,111,2.5
1961,9,117,33.4,25.4,119,2
1961,10,95,31.9,18.2,102,3.7
1961,11,2,25,11.1,37,4.4
1961,12,11,20.1,5.4,21,4.5
1962,1,55,19.6,5.8,53,5.3
1962,2,13,24.4,9.8,18,5.2
1962,3,15,29.2,14.2,18,4.9
1962,4,1,36.9,20.6,4,4.3
1962,5,2,39.9,24.7,4,3.6
1962,6,24,40.8,27.2,24,2.7
1962,7,208,35.7,27.3,141,2.6
1962,8,128,34.3,26.4,117,1.5
1962,9,335,32.6,24.3,126,4.1
1962,10,0,32.3,17.8,58,3.5
1962,11,7,27.5,11.4,17,3
1962,12,13,21.3,7.2,18,2.8
1963,1,6,20.5,5.4,9,2
1963,2,10,26.1,10.1,12,1.5
1963,3,18,29.4,13.9,19,1.4
1963,4,5,35.2,19.7,6,1.2
1963,5,7,38.6,23.6,7,0.9
1963,6,43,40,27.5,42,0.8
1963,7,114,37,27.7,109,-1.9
1963,8,240,33,26.2,121,-1.8
1963,9,234,33.3,23.8,125,1.4
1963,10,2,33.5,19.1,60,1.1
1963,11,6,27.8,13.5,16,0.8
1963,12,16,22.8,6.8,20,0.9
1964,1,8,18.8,5.4,11,-0.6
1964,2,3,23.5,8.9,5,-1.1
1964,3,3,31.4,15.2,5,-1.6
1964,4,4,36.8,20.6,5,-1.6
1964,5,11,38.6,22.4,12,-1.3
1964,6,16,40.2,27.5,16,-2
1964,7,385,33.7,25.7,143,2.6
1964,8,294,34,26.3,132,3.9
1964,9,205,32.8,24.4,124,4.5
1964,10,0,32.5,18,57,3.9
1964,11,0,27.7,9.6,11,3.1
1964,12,10,22.1,7.3,14,2.7
1965,1,14,22.6,8.4,16,1.9
1965,2,18,23.5,8.9,20,1.6
1965,3,9,29.3,13.3,10,1.2
1965,4,12,33.5,18.3,13,1.3
1965,5,8,38.5,23.6,9,1.1
1965,6,5,41.3,28.2,5,-2
1965,7,172,35.3,26.3,157,-2.2
